, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n
132, ,21/01/2019,Yuen Long,"No. 0051-0059, Yuen Long Centre, Sau Fu Street, Yuen Long, New Territories",10,6,390,12500.0,@$32,Market,"(820811, 833953)"
133, ,21/01/2019,Shek Mun,"No. 1, Kings Wing Plaza 2, On Kwan Street, Shek Mun, New Territories",1,101(C20),177,17000.0,@$96,Market,"(839502.7, 827757.8)"
134, ,21/01/2019,Tsing Yi,"No. 0001-0033, Tsing Yi Industrial Centre Ph. 2, Blk. C, Cheung Tat Road, Tsing Yi, New Territories",15,1,1929,17000.0,@$9,Market,"(829400.66357, 823373.36468)"
135, ,21/01/2019,Kwun Tong,"No. 0051, Southtex Building, Tsun Yip Street, Kwun Tong, Kowloon",9,E,320,5120.0,@$16,Market,"(840877, 819096)"
136, ,21/01/2019,Tsuen Wan,"Shop G36 on G/F, , Waterside Plaza, No.0038 Wing Shun Street, Tsuen Wan, New Territories",-,-,5145,102900.0,@$20,Market,"(829733, 825050)"
137, ,21/01/2019,Wan Chai,"No. 0024-0034, 28 Hennessy Road, Hennessy Road, Wan Chai, Hong Kong",15,WF,4935,370125.0,@$75,Market,"(835887.07146, 815416.809)"
138, ,21/01/2019,Tuen Mun,"No. 17, Co-Tack Industrial Building, Kin Fat Street, Tuen Mun, New Territories",LG,D-G,10000,130000.0,@$13,Market,"(814773, 829002)"
139, ,21/01/2019,Yuen Long,"No. 0051-0059, Yuen Long Centre, Sau Fu Street, Yuen Long, New Territories",2,2,340,12000.0,@$35,Market,"(820811, 833953)"
140, ,01/02/2019,Chai Wan,"No. 0040, Fortune Factory Building B, Lee Chung Street, Chai Wan, Hong Kong",3,B01b,3670,40370.0,@$11,Market,"(842392, 814222)"
141, ,01/02/2019,Siu Lek Yuen,"No. 0002-0004, Koon Wah Building, Yuen Shun Circuit, Siu Lek Yuen, New Territories",2,20,1950,29250.0,@$15,Market,"(839230, 827091)"
142, ,01/02/2019,Tsuen Wan,"No. 3, TML Tower, Hoi Shing Road, Tsuen Wan, New Territories",17,D06A,2063,35000.0,@$17,Market,"(828987, 826048)"
143, ,01/02/2019,Kwun Tong,"No. 0221, Mai Tak Industrial Building, Wai Yip Street, Kwun Tong, Kowloon",7,D(32),202,3232.0,@$16,Market,"(841034, 818836)"
144, ,01/02/2019,Kwun Tong,"No. 0221, Mai Tak Industrial Building, Wai Yip Street, Kwun Tong, Kowloon",7,D(36),196,3332.0,@$17,Market,"(841034, 818836)"
145, ,01/02/2019,Yuen Long,"No. 0002, Energy Industrial Centre, San Fui Street, San Hei Tsuen, Ping Shan, Yuen Long, New Territories",2,A02,1154,12117.0,@$11,Market,"(818845, 833320)"
